lat,lon,Record Count
42.005559764,-87.901885838,136
41.970244982,-87.713435328,131
42.016010564,-87.680162272,128
41.97681175,-87.701941074,123
41.827613139,-87.604241624,122
42.008540761,-87.69496375,111
41.965362587,-87.731832739,108
41.86958386,-87.659204671,107
41.941311617,-87.685615817,107
41.982745595,-87.657966347,106
41.847431547,-87.663528686,104
41.966774943,-87.710848208,100
41.985916382,-87.768970241,98
41.915496209,-87.710195634,91
41.933675988,-87.712357476,90
42.008487008,-87.685913133,88
41.71071559,-87.615285322,87
41.97153938,-87.738937205,79
42.021223593,-87.669824772,73
41.955584115,-87.713090057,72
41.997153943,-87.657498791,68
42.007446924,-87.704605634,68
41.986895043,-87.703668273,67
41.928464984,-87.695086675,67
41.9729552,-87.772616911,66
41.856309817,-87.644209287,64
42.015719907,-87.68711599,63
41.963115755,-87.713229335,62
41.81749249,-87.686845262,60
41.944946754,-87.685778214,60
41.979204551,-87.797398984,60
41.904712,-87.701884559,59
41.986558181,-87.713368804,58
41.801226836,-87.58530316,57
41.891948382,-87.689125909,57
41.978068292,-87.819789114,56
41.971142808,-87.705776701,56
41.963153311,-87.69225876,55
41.964636199,-87.742787877,54
41.863422684,-87.653756619,53
41.960518218,-87.762285982,48
41.820456907,-87.600691571,48
41.88414467,-87.747874339,47
41.740997711,-87.601108164,45
41.937401794,-87.722330298,44
41.91213208,-87.689711275,43
41.959526791,-87.702098541,42
41.980506822,-87.826676182,42
41.915707408,-87.699596792,39
41.867823493,-87.700823956,39
41.9895838,-87.78301328,39
41.828119978,-87.690754177,39
41.776163693,-87.579948248,37
41.975337826,-87.844359494,37
41.815268494,-87.741190447,36
41.921084583,-87.704648384,34
41.834962325,-87.625154127,34
41.949709077,-87.752118415,32
41.790447899,-87.590431128,31
41.942699578,-87.731002484,31
41.856144105,-87.648978324,30
41.952664895,-87.745243205,30
41.964652354,-87.721016769,29
41.796640334,-87.745282845,29
41.844144961,-87.68299621,29
41.804002777,-87.740613253,28
41.991119555,-87.74005519,28
41.949876432,-87.738141891,27
42.009150063,-87.67861897,26
41.820166606,-87.621499206,24
41.844660776,-87.649072244,23
41.93573609,-87.698946916,23
41.897425765,-87.699374404,23
41.806021704,-87.594347985,22
41.783034178,-87.582630304,22
41.977322582,-87.752223368,21
41.906683959,-87.710353935,21
41.831157182,-87.638333371,20
41.715760907,-87.574888167,20
41.994498038,-87.757597486,20
41.972132119,-87.7976349,20
41.911971969,-87.704365711,19
41.804147373,-87.73082849,18
41.964568045,-87.77226499,18
41.975280926,-87.783238034,18
41.798041716,-87.594196627,17
41.977002304,-87.761924979,17
41.840930806,-87.660617833,16
41.95679809,-87.772043822,16
